Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.67       673.79325017],[ 0.48590122 44.23730582],[  7.         512.77810916],[  9.         789.65536175],"[25, 24, 22, 21, 20, 10, 11, 4, 15, 13, 3, 9, 2, 7, 5, 1, 8, 23, 17, 19, 12, 18, 14, 6, 16]","(7.0, 512.7781091589623)"
1,336,[  7.4125     628.97509744],[ 0.49228422 29.30839076],[  7.         512.77810916],[  8.         672.83424529],"[25, 24, 22, 21, 20, 10, 11, 4, 15, 13, 3, 9, 2, 7, 5, 1, 8, 23, 17, 19, 12, 18, 14, 6, 16]","(7.0, 512.7781091589623)"
2,338,[  7.325      604.08059093],[ 0.46837485 25.40752242],[  7.         497.69391757],[  8.         630.50128516],"[25, 24, 22, 21, 20, 10, 11, 4, 15, 13, 3, 9, 2, 7, 18, 1, 8, 23, 17, 19, 12, 14, 5, 6, 16]","(7.0, 497.6939175726716)"
3,352,[  7.2225     579.79330558],[ 0.41592517 25.3461958 ],[  7.         493.44206038],[  8.         609.65275812],"[25, 24, 22, 21, 20, 10, 11, 4, 15, 13, 3, 9, 2, 7, 5, 1, 8, 23, 6, 19, 12, 18, 14, 17, 16]","(7.0, 493.44206037600435)"
4,334,[  7.065      555.16739028],[ 0.24652586 21.78579425],[  7.         484.57344477],[  8.         582.64924409],"[25, 24, 22, 21, 20, 10, 9, 4, 15, 13, 3, 11, 16, 2, 5, 1, 8, 23, 17, 19, 12, 18, 14, 6, 7]","(7.0, 484.5734447715055)"
5,326,[  7.0125     533.54253533],[ 0.11110243 21.76122636],[  7.         484.57344477],[  8.         557.21713814],"[25, 24, 22, 21, 20, 10, 9, 4, 15, 13, 3, 11, 16, 2, 5, 1, 8, 23, 17, 19, 12, 18, 14, 6, 7]","(7.0, 484.5734447715055)"
6,342,[  7.0125     510.97570905],[0.11110243 9.06230752],[  7.         484.57344477],[  8.         529.21343294],"[25, 24, 22, 21, 20, 10, 9, 4, 15, 13, 3, 11, 16, 2, 5, 1, 8, 23, 17, 19, 12, 18, 14, 6, 7]","(7.0, 484.5734447715055)"
7,356,[  7.005      503.23210731],[0.07053368 8.249963  ],[  7.         457.55493642],[  8.         512.77810916],"[25, 24, 22, 21, 20, 10, 11, 4, 15, 13, 3, 9, 2, 7, 6, 1, 8, 23, 17, 19, 12, 14, 5, 18, 16]","(7.0, 457.5549364225332)"
8,316,[  7.005      495.91812216],[0.07053368 5.59773598],[  7.         457.55493642],[  8.         502.66359069],"[25, 24, 22, 21, 20, 10, 11, 4, 15, 13, 3, 9, 2, 7, 6, 1, 8, 23, 17, 19, 12, 14, 5, 18, 16]","(7.0, 457.5549364225332)"
9,340,[  7.0025     491.76155594],[0.04993746 5.58215685],[  7.         457.55493642],[  8.         497.39121366],"[25, 24, 22, 21, 20, 10, 11, 4, 15, 13, 3, 9, 2, 7, 6, 1, 8, 23, 17, 19, 12, 14, 5, 18, 16]","(7.0, 457.5549364225332)"
