Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.655     671.5011282],[ 0.48577258 45.74752557],[  7.         519.15125534],[  9.         797.93715701],"[20, 17, 11, 2, 12, 16, 24, 8, 23, 22, 21, 13, 9, 10, 5, 6, 1, 25, 14, 19, 4, 7, 3, 18, 15]","(7.0, 546.1263153529048)"
1,330,[  7.43       625.85023419],[ 0.49507575 28.71425157],[  7.         519.15125534],[  8.         664.31678102],"[7, 11, 3, 25, 8, 5, 2, 20, 23, 24, 4, 13, 15, 21, 22, 10, 6, 14, 16, 18, 19, 12, 17, 9, 1]","(7.0, 522.9898402142024)"
2,334,[  7.39       600.17109323],[ 0.48774994 25.8086223 ],[  7.         519.15125534],[  8.         630.28442039],"[7, 11, 3, 25, 8, 5, 2, 20, 23, 24, 4, 13, 15, 21, 22, 10, 6, 14, 16, 18, 19, 12, 17, 9, 1]","(7.0, 522.9898402142024)"
3,334,[  7.2825     574.42558295],[ 0.45021523 18.22451086],[  7.         517.48816275],[  8.         599.43435677],"[7, 11, 3, 25, 8, 5, 2, 20, 23, 24, 4, 13, 15, 21, 22, 10, 6, 14, 16, 18, 19, 12, 17, 9, 1]","(7.0, 522.9898402142024)"
4,334,[  7.19       559.27114814],[ 0.3923009  14.71117214],[  7.        498.8836204],[  8.         577.65913124],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 14, 13, 2, 9, 1, 11, 20, 6, 16, 4, 10, 15, 17, 7, 8, 23]","(7.0, 498.8836204021884)"
5,332,[  7.1775     546.34761206],[ 0.38209128 12.54291521],[  7.         486.99602244],[  8.         561.76826175],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 14, 13, 2, 1, 9, 11, 20, 6, 16, 4, 10, 15, 17, 7, 8, 23]","(7.0, 486.99602244123594)"
6,366,[  7.2275     537.43481804],[ 0.41921802 11.87303391],[  7.         486.99602244],[  8.         547.83681771],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 14, 13, 2, 1, 9, 11, 20, 6, 16, 4, 10, 15, 17, 7, 8, 23]","(7.0, 486.99602244123594)"
7,336,[  7.2025     528.35300442],[ 0.40186285 11.58268838],[  7.         486.99602244],[  8.        543.6406331],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 14, 13, 2, 1, 9, 11, 20, 6, 16, 4, 10, 15, 17, 7, 8, 23]","(7.0, 486.99602244123594)"
8,350,[  7.255      518.65241678],[0.43586122 8.6823849 ],[  7.         468.04310358],[  8.         526.29776521],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 13, 2, 1, 9, 11, 20, 6, 16, 14, 10, 15, 17, 7, 8, 23]","(7.0, 468.0431035765039)"
9,340,[  7.38       512.57766911],[ 0.48538644 11.45391695],[  7.         468.04310358],[  8.         522.98984021],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 13, 2, 1, 9, 11, 20, 6, 16, 14, 10, 15, 17, 7, 8, 23]","(7.0, 468.0431035765039)"
10,350,[  7.1975     503.30299833],[ 0.39811274 12.94867284],[  7.         463.43610914],[  8.        519.1270544],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 13, 2, 1, 9, 6, 20, 11, 16, 14, 10, 15, 17, 7, 8, 23]","(7.0, 463.4361091435652)"
11,334,[  7.        490.6928541],[0.         7.84184963],[  7.         463.43610914],[  7.         504.14018716],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 13, 2, 1, 9, 6, 20, 11, 16, 14, 10, 15, 17, 7, 8, 23]","(7.0, 463.4361091435652)"
12,344,[  7.         483.77318571],[0.         6.61443465],[  7.         462.05480529],[  7.         487.46446628],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 13, 2, 1, 9, 23, 20, 6, 16, 14, 10, 15, 17, 7, 8, 11]","(7.0, 462.05480529410164)"
13,328,[  7.         479.30869447],[0.         8.30255322],[  7.         462.05480529],[  7.         486.99602244],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 13, 2, 1, 9, 23, 20, 6, 16, 14, 10, 15, 17, 7, 8, 11]","(7.0, 462.05480529410164)"
14,344,[  7.         472.46342929],[0.         6.54572328],[  7.        459.3364282],[  7.         483.01787945],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 13, 9, 11, 20, 6, 16, 14, 10, 15, 17, 7, 8, 23]","(7.0, 459.3364282010465)"
15,360,[  7.         467.20759815],[0.         1.94205711],[  7.         456.97482811],[  7.         468.04310358],"[24, 25, 21, 6, 19, 18, 22, 5, 3, 4, 13, 2, 1, 9, 11, 10, 12, 14, 16, 20, 15, 17, 7, 8, 23]","(7.0, 456.9748281085649)"
